,Regression_Decomposition_1,Regression_Decomposition_2,ARIMA_Decomposition_1,ARIMA_Decomposition_2,Holts_winter_Decomposition_1,Holts_winter_Decomposition_2,Ses_Decomposition_1,Ses_Decomposition_2,Fbprophet_Decomposition_1,Fbprophet_Decomposition_2,Regression_2lag_Decomposition_1,Regression_2lag_Decomposition_2
0,199693.5922022338,1753.3649056327324,267231.98428952927,1264.25428299195,207933.1255398904,1556.6854360074508,259756.0,1739.6466282571498,217858.00611084915,1648.8522421037833,185443.8827977406,1870.3822366239044
1,188919.24293447484,1637.3726701581215,207551.38766790612,1798.4546430772448,194437.14558427664,1474.4054090363725,259756.0,1739.6466282571498,219524.08168740637,1624.3508895292798,195071.20917963298,1743.6570355516021
2,185209.62757242765,1887.9751001697914,177882.70730365024,1972.8840575986665,190650.67418239976,1715.6647324504706,259756.0,1739.6466282571498,221028.9241436516,1602.2206355910182,204238.20284684663,1846.391770871786
3,191158.87209576427,1792.1630083947339,176357.07727098555,1909.3274339366603,197738.99940139134,1624.0554548436435,259756.0,1739.6466282571498,222694.9997202088,1577.7192830165147,203876.11522160543,1768.6591924736804
4,199504.9716409556,1908.223946894573,189305.02584723674,1891.7906634113808,207720.1227243347,1719.56577079983,259756.0,1739.6466282571498,224307.3309233287,1554.008296654092,188475.9320091419,1742.4901406626043
5,199228.75360376053,1821.8608834101913,198856.5408487668,1958.479423205145,206139.48661448472,1706.5913504329296,259756.0,1739.6466282571498,225973.40649988592,1529.5069440795885,181363.74224743445,1485.2014014558465
6,186411.324958512,1756.7900469586605,197006.38412577688,1731.6861886517004,190382.31017190768,1626.2559603273683,259756.0,1739.6466282571498,227585.7377030058,1505.7959577171655,207176.05015575484,1892.0805658095298
7,181262.63806551768,1475.2324779868984,186578.98974895,1861.0881296302466,183580.6705631838,1409.6318545166118,259756.0,1739.6466282571498,229251.813279563,1481.294605142662,215059.22020369844,2293.3882112708034
8,210381.5390436995,1838.3999567417816,184887.0302223572,1686.1215766454795,210782.63860239348,1775.8821891694072,259756.0,1739.6466282571498,230917.88885612026,1456.7932525681586,231884.6634095114,1884.863594319914
9,218121.59481702422,2223.271103436937,205042.7535488261,1926.8323219651913,217667.38260090945,2198.510259014449,259756.0,1739.6466282571498,232530.22005924015,1433.0822662057356,256471.5161545608,1227.5776923191038
10,232209.7219274316,1845.7816896536929,214799.93296662494,2197.335460732032,232565.5464989764,1829.8990167729241,259756.0,1739.6466282571498,234196.29563579735,1408.580913631232,212502.0556128928,1936.6934881750879
11,255935.8622608756,1200.9673162163879,246314.78038124507,2004.9738430424125,255831.06357402386,1226.8656653810087,259756.0,1739.6466282571498,235808.62683891723,1384.8699272688093,186859.41585053795,1872.7006588981292
